gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2021R1005,2021,R10,2021-05-22,Western Bulldogs,St Kilda,21.18,5.3,Docklands,28720.0,18.7,0.4,0.0
2021R1006,2021,R10,2021-05-22,Fremantle,Sydney,12.14,13.6,Perth Stadium,29134.0,20.2,13.1,0.0
2021R1007,2021,R10,2021-05-23,Greater Western Sydney,West Coast,13.15,11.11,Sydney Showground,9046.0,20.1,9.2,0.0
2021R1008,2021,R10,2021-05-23,Collingwood,Port Adelaide,8.1,8.11,M.C.G.,23415.0,19.7,3.1,0.0
2021R1009,2021,R10,2021-05-23,Essendon,North Melbourne,22.9,10.9,Docklands,33121.0,19.7,3.1,0.0
2021R1101,2021,R11,2021-05-28,Western Bulldogs,Melbourne,8.11,13.9,Docklands,0.0,13.6,9.1,0.4
2021R1102,2021,R11,2021-05-29,Collingwood,Geelong,6.15,8.13,M.C.G.,0.0,13.4,9.8,0.0
2021R1103,2021,R11,2021-05-29,Brisbane Lions,Greater Western Sydney,19.15,10.5,Gabba,22038.0,21.0,11.0,0.0
2021R1104,2021,R11,2021-05-29,St Kilda,North Melbourne,12.16,10.8,Docklands,0.0,13.4,9.8,0.0
2021R1105,2021,R11,2021-05-29,West Coast,Essendon,11.5,12.15,Perth Stadium,41883.0,20.6,15.2,11.4
2021R1106,2021,R11,2021-05-29,Gold Coast,Hawthorn,17.11,11.1,S.C.G.,1241.0,15.3,8.5,0.0
2021R1107,2021,R11,2021-05-30,Richmond,Adelaide,17.9,12.11,Sydney Showground,4236.0,16.2,10.4,0.0
2021R1108,2021,R11,2021-05-30,Sydney,Carlton,15.1,11.12,S.C.G.,29882.0,15.3,10.3,0.0
2021R1109,2021,R11,2021-05-30,Port Adelaide,Fremantle,18.7,9.15,Adelaide Oval,26759.0,16.7,2.2,0.0
2021R1201,2021,R12,2021-06-04,Melbourne,Brisbane Lions,14.13,11.9,Sydney Showground,3772.0,20.1,8.5,7.0
2021R1202,2021,R12,2021-06-05,Sydney,St Kilda,13.14,12.11,S.C.G.,19020.0,17.8,8.6,0.2
2021R1203,2021,R12,2021-06-05,Adelaide,Collingwood,10.13,12.6,Adelaide Oval,30446.0,16.9,6.1,0.2
2021R1204,2021,R12,2021-06-05,Essendon,Richmond,12.12,19.9,Perth Stadium,55656.0,21.8,5.7,0.0
2021R1205,2021,R12,2021-06-06,Carlton,West Coast,10.13,14.11,S.C.G.,5137.0,19.4,7.9,0.0
2021R1206,2021,R12,2021-06-06,Fremantle,Western Bulldogs,9.11,13.15,Perth Stadium,32875.0,20.6,7.4,0.0
2021R1301,2021,R13,2021-06-10,Port Adelaide,Geelong,14.7,17.1,Adelaide Oval,28718.0,14.8,9.3,0.0
2021R1302,2021,R13,2021-06-11,Sydney,Hawthorn,7.9,14.5,S.C.G.,25904.0,16.7,4.6,6.8
2021R1303,2021,R13,2021-06-12,Fremantle,Gold Coast,11.1,6.13,Perth Stadium,27318.0,21.0,10.5,0.2
2021R1304,2021,R13,2021-06-12,St Kilda,Adelaide,8.12,9.12,Cazaly's Stadium,5969.0,26.0,20.2,2.26
2021R1305,2021,R13,2021-06-13,North Melbourne,Greater Western Sydney,14.1,14.1,Bellerive Oval,3462.0,15.3,11.6,3.4
2021R1306,2021,R13,2021-06-13,West Coast,Richmond,13.7,12.9,Perth Stadium,50834.0,20.1,8.4,0.0
2021R1307,2021,R13,2021-06-14,Melbourne,Collingwood,9.9,11.14,S.C.G.,16453.0,17.3,9.8,0.0
2021R1401,2021,R14,2021-06-18,Geelong,Western Bulldogs,12.11,11.12,Kardinia Park,6583.0,14.9,3.3,0.0
2021R1402,2021,R14,2021-06-19,Gold Coast,Port Adelaide,4.7,12.9,Carrara,7117.0,20.4,13.0,0.0
2021R1403,2021,R14,2021-06-19,North Melbourne,Brisbane Lions,6.9,9.14,Bellerive Oval,5060.0,14.1,7.1,0.6
2021R1404,2021,R14,2021-06-19,Greater Western Sydney,Carlton,16.6,9.12,Sydney Showground,7035.0,15.2,10.7,2.4
2021R1405,2021,R14,2021-06-20,Hawthorn,Essendon,10.13,13.8,York Park,14834.0,13.4,0.2,0.0
2021R1501,2021,R15,2021-06-24,Brisbane Lions,Geelong,13.16,7.8,Gabba,29024.0,22.8,15.1,0.8
2021R1502,2021,R15,2021-06-25,Richmond,St Kilda,2.1,9.8,M.C.G.,14787.0,12.9,9.9,0.0
2021R1503,2021,R15,2021-06-26,Collingwood,Fremantle,12.7,14.7,Docklands,11570.0,12.9,8.3,4.3
2021R1504,2021,R15,2021-06-26,North Melbourne,Gold Coast,9.18,9.9,Bellerive Oval,6719.0,11.9,4.8,0.0
2021R1505,2021,R15,2021-06-26,Port Adelaide,Sydney,12.9,10.11,Adelaide Oval,29631.0,13.7,9.5,2.2
2021R1506,2021,R15,2021-06-26,Essendon,Melbourne,8.9,9.14,M.C.G.,19414.0,12.9,8.3,4.3
2021R1507,2021,R15,2021-06-27,Greater Western Sydney,Hawthorn,11.6,13.12,M.C.G.,9897.0,16.0,8.1,0.2
2021R1508,2021,R15,2021-06-27,West Coast,Western Bulldogs,6.7,13.2,Perth Stadium,0.0,16.0,8.4,0.0
2021R1509,2021,R15,2021-06-27,Carlton,Adelaide,12.11,10.13,Docklands,14930.0,16.0,8.1,0.2
2021R1601,2021,R16,2021-07-01,Gold Coast,Richmond,10.17,10.7,Docklands,9327.0,16.2,10.3,0.0
2021R1602,2021,R16,2021-07-02,Geelong,Essendon,15.8,8.9,Kardinia Park,15579.0,16.5,9.2,0.6
2021R1603,2021,R16,2021-07-03,Melbourne,Greater Western Sydney,7.13,9.1,M.C.G.,16963.0,10.2,5.3,7.0
2021R1604,2021,R16,2021-07-03,Adelaide,Brisbane Lions,8.11,17.9,Adelaide Oval,16178.0,13.3,7.5,6.6
2021R1605,2021,R16,2021-07-03,Fremantle,Carlton,8.16,12.8,M.C.G.,12103.0,10.2,5.3,7.0
2021R1606,2021,R16,2021-07-03,Hawthorn,Port Adelaide,7.11,13.9,Docklands,18251.0,10.2,5.3,7.0
2021R1607,2021,R16,2021-07-04,Sydney,West Coast,18.1,3.8,Kardinia Park,9520.0,13.1,4.9,1.0
2021R1608,2021,R16,2021-07-04,Collingwood,St Kilda,8.13,10.1,M.C.G.,18082.0,12.5,5.4,0.4
2021R1609,2021,R16,2021-07-04,Western Bulldogs,North Melbourne,16.12,11.13,Docklands,18216.0,12.5,5.4,0.4
2021R1701,2021,R17,2021-07-08,Port Adelaide,Melbourne,8.7,12.14,Adelaide Oval,30908.0,15.9,8.5,0.0
2021R1702,2021,R17,2021-07-09,Essendon,Adelaide,11.18,2.9,Docklands,23604.0,12.6,0.1,0.0
2021R1703,2021,R17,2021-07-10,Hawthorn,Fremantle,6.1,16.12,York Park,9111.0,14.0,-1.9,0.0
2021R1704,2021,R17,2021-07-10,Carlton,Geelong,5.14,10.1,M.C.G.,31834.0,13.7,2.1,0.0
2021R1705,2021,R17,2021-07-10,Brisbane Lions,St Kilda,8.15,14.11,Carrara,9075.0,21.1,12.6,1.6
2021R1706,2021,R17,2021-07-11,Greater Western Sydney,Gold Coast,9.1,10.5,Eureka Stadium,2952.0,10.4,-1.0,0.2
2021R1707,2021,R17,2021-07-11,Western Bulldogs,Sydney,8.12,11.13,Docklands,24817.0,15.0,3.8,0.0
2021R1708,2021,R17,2021-07-11,Richmond,Collingwood,11.5,13.9,M.C.G.,29437.0,15.0,3.8,0.0
